name,url,city,twitter_name
Ignite Algarve,http://ignitealgarve.com/,Algarve,
Ignite Amherst,,Amherst,@IgniteAmherst
Ignite Amsterdam,http://www.mediamatic.net/202960/en/ignite-amsterdam,Amsterdam,@IgniteAms @igniteamsterdam
Ignite Ann Arbor,http://www.igniteannarbor.com/,Ann Arbor,@ignitea2
Ignite Asheville,http://web.ashevillechamber.org/events/Ignite-Asheville-Big-Idea-Competition-3961/details,Asheville,@IgniteAVL
Ignite Austin,,Austin,
Ignite Automotive,,Detroit,
Ignite Bainbridge,,Bainbridge,
Ignite Baltimore*,,Baltimore,
Ignite Barcelona,,Barcelona,
Ignite Barrie,http://ignitebarrie.com/,Barrie,
Ignite Belgrade,,Belgrade,
Ignite Bend,,Bend,
Ignite Bergen,http://www.ignitebergen.no/,Bergen,
Ignite Berlin,http://igniteberlin.com/,Berlin,
Ignite Billings,,Billings,
Ignite Birmingham,,Birmingham,
Ignite Boise,,Boise,
Ignite Boulder,,Boulder,
Ignite Black Rock City (Burning Man),,Black Rock City/Burning Man,
Ignite Cardiff / Wales,http://ignite.wales/,Cardiff,
Ignite Carroll,,Carroll,
Ignite Charlotte,,Charlotte,
Ignite Chicago / Chitown,http://www.ignitechi.org/,Chicago,
Ignite Cincinnati,http://ignitecincinnati.net/,Cincinnati,
Ignite Colorado Springs,http://www.ignitecoloradosprings.org/,Colorado Springs,
Ignite Columbus,,Columbus,
Ignite Corvallis,,Corvallis,
Ignite Dallas,,Dallas,
Ignite DC,,DC,
Ignite Denmark,http://www.ignitedenmark.dk/,Copenhagen,
Ignite Denver,http://ignitedenver.org/,Denver,https://twitter.com/ignitedenver/
Ignite Dhahran,http://www.ignitedhahran.com/,Dhahran,
Ignite Dijon,,Dijon,
Ignite Fort Collins,,Fort Collins,
Ignite Frankfurt,,Frankfurt,
Ignite Gotham,http://ignitegotham.com/,Gotham,
Ignite Guelph,http://igniteguelph.ca/,Guelph,https://twitter.com/igniteguelph
Ignite Houston,http://ignitehoustonrevolution.com/,Houston,
Ignite Howard County,http://ignitehowardcounty.com/,Howard County,
Ignite Jeddah,http://www.ignitejeddah.org/,Jeddah,
Ignite Lincoln,http://ignitelincoln.org/,Lincoln,
Ignite London (Ontario),,London,
Ignite Madison,http://ignitemadison.org/,Madison,
Ignite Memphis,http://ignitememphis.com/,Memphis,
Ignite Michiana*,,Michiana,
Ignite Millspace,http://millspace.org/2015/03/20/244/,Millspace,
Ignite Milwaukee,,Milwaukee,
Ignite Minneapolis,,Minneapolis,
Ignite Mitrovica,,Mitrovica,
Ignite Montrose,,Montrose,
Ignite Norwich,"http://hotsourcenorwich.co.uk/2014/09/end-of-2014-ignite-session/
http://www.ignitenorwich.net/",Norwich,https://twitter.com/ignitenorwich
Ignite NYC,,New York,
Ignite Oakland,http://igniteoakland.com/,Oakland,
Ignite OKC,http://igniteokc.com/,Oklahoma City,
Ignite Phoenix,http://www.ignitephoenixafterhours.com/,Phoenix,
Ignite Reno,http://www.ignitereno.com/,Reno,
Ignite Sacramento,,Sacramento,
Ignite Salem,,Salem,
Ignite Salisbury,http://ignitesalisbury.com/,Salisbury,
Ignite San Diego,,San Diego,
Ignite San Francisco,,San Francisco,
Ignite San Luis Obispo,,San Luis Obispo,
Ignite Santiago,,Santiago,
Ignite Seattle,http://igniteseattle.com/,Seattle,
Ignite Seoul,,Seoul,
Ignite Sheffield,,Sheffield,
Ignite St John (SJ),http://www.ignitesj.ca/,St John (SJ),
Ignite Sydney,,Sydney,
Ignite Tampa Bay,http://ignitetampa.org/,Tampa Bay,
Ignite Tri-Cities,http://www.ignitetricities.com/,Kennewick,
Ignite TLV-Tel Aviv,,Tel Aviv,
Ignite Valencia,http://ignitevlc.com/,Valencia,
Ignite Waterloo,,Waterloo,
Ignite Wilmington,,Wilmington,
Ignite Winnipeg,,Winnipeg,
Ignite Zurich,,Zurich,
